"artists"                                                                          ,"explicit","genre"                               ,"lyric"                                                                                                                                     ,"musixmatch_rating","rank","title"
"LOS DOS CARNALES"                                                                 ,0.0       ,"Music"                               ,"Pocas amistades, a la más sincera la llevo en la lista
Pocos los amigos, los que me ayudaron y eso no se olvida
Los que se pasaron, ahora vienen solos, es hipocresía
No quieren lo que tengo, quieren no lo tenga y eso es pura envidia

Yo no tengo nada, pero mi palabra vale más que todo
Para un buen amigo, siempre está mi mano y esa vale oro
A los que me aprecian, saben bien de sobra que estamos pa' todo
Y cuando se ocupe, si se ocupa Lupe, le damos con Toño

Y es que el envidioso es más peligroso y no por su persona
...


 "                                                                          ,74.0               ,12    ,"EL ENVIDIOSO"
"FEID, J BALVIN, MALUMA, NICKY JAM, SECH & JUSTIN QUILES"                          ,""        ,""                                    ,""                                                                                                                                          ,""                 ,13    ,"PORFA"
"DJ NELSON PRESENTA JAY WHEELER & MYKE TOWERS"                                     ,""        ,""                                    ,""                                                                                                                                          ,""                 ,14    ,"LA CURIOSIDAD"
"ROSALIA & TRAVIS SCOTT"                                                           ,1.0       ,"Music"                               ,"Cosa' de familia, no la' tienen que escucha'
Lo' capo' con lo' capo' y yo soy la mamá
Los secreto' solo con quien pueda' confia'
Más-más te vale no romper la omertá

Hay nivele' para todo en esta vi'a
No jodemo' con persona' desconoci'a'
Ni un amigo nuevo, ni uno haría
Ni un amigo nuevo, ni uno haría

TKN, TKN, TKN
Ni un amigo nuevo, ni uno haría
TKN, TKN
Ni un amigo nuevo, ni uno haría

Zoom en la cara, Gaspar Noé
E'to no dispara', la vacié
VVS, VVS, Dolce Vita
Mi mando está duro, dinamita
...


 "                                                                                               ,81.0               ,15    ,"TKN"
"FARRUKO"                                                                          ,1.0       ,""                                    ,"A ella ya no le motiva salir
Quedó traumada
Todavía piensa en ese infeliz
Sus amigas la sonsacan a llevársela pa' la calle
Pa' que se despeje y olvide
De una relación tóxica acaba 'e salir
La convencieron y se arregló pa' ir (Laramercy gang, ¡Farru!)

Y se va pa' la calle
En busca de un jangueo, pri-yah-yah
Donde pongan música, haya hookah y botelleo

Y se va pa' la calle
En busca de un jangueo
Ella no quiere amore' y está puesta pa'l perreo
(Pri-yah-yah)

Ella llegó depresiva pero le pusieron ""Tusa""
Ahí se soltó y se desabotonó la blusa
Se les pegó a la hookah y de la botella abusa
Dice que hoy se bebe y pone cabrón de excusa (¡Blep!)

Le da hasta abajo, al ritmo del bajo
Lo que hablen de ella le importa un carajo
...


 "                                                                               ,30.0               ,16    ,"LA TOXICA"
"OZUNA X ARCANGEL X COSCULLUELA X WISIN X MYKE TOWERS X JUANKA"                    ,1.0       ,""                                    ,"Dímelo Químico
Los Legendarios

Yo no tengo enemigos, todos son ocultos
Ahora que estoy brillando, no los culpo
La mantengo real, cero bulto
Con elegancia pero siempre calle

El ""negrito ojos claros""
Eh, entre tú y yo no hay semejanza
Así que vos mantén distancia
Que si ponemos mi nombre en balanza
Tú no tienes break
Es que tu movie es fake
Donde te pillamos te apretamos el spray

Tanto que roncan
Hablan de calle, pero ninguno se monta, (ninguno se monta)
Estamos frío, siempre chilling
Y no hay preocupación, sobran los Benji, los culos y los Richard Mille
Ustedes son trili

Por eso no entiendo tanto que roncan
Hablan de calle, pero ninguno se monta
Estamos frío', siempre chilling
Y no hay preocupación, sobran los Benji, los culos y los Richard Mille
Ustedes son trili (Austin La Marash)

De nuevo Arcángel, padre de una generación
Tanto así que a mis enemigos le sirvo de inspiración (tú sabes)
El mejor artista en esto canción por canción
Pero es obvio no están listo para esta conversación

Dame un break, ¿quieres ver cómo te lo detallo?
Rapeo, canto, introduzco, escribo y te lo subrayo
Mejor me callo, soy la solución, y soy el fallo
Lo que escucha tu mujer por la mañana y no es el gallo

Cada vez que llego formó el alboroto
Pasajero siéntate que llegó el piloto
Se pasan hablando de ustedes mismos
Al otro día se maman el bicho y vienen y suben foto

No creo en valentía (no)
Si sale de una nota, a eso yo le llamo cobardía
Dicen que en tu compañía, hay par de por de bajo el agua
Cooperando con la policía (dímelo Tito Gargola)

Trick trick or treat lo de ustedes es Halloween
Lo mío es la Hollow-point, boy it's a gangsta' team
Me rich and me cool, no school, no rule
Maybach y con cien trabajos en el baúl

Saliendo del rehab, diez año son diez sortijas
Inbrincable cabrones son diez temporadas fijas
Blanca Nieves pregunta en Alaska por mi zip code
La NASA estudió el flow, y dicen Coscu that's the real god

Homeboy esto es mafia a lo Goodfella
You're fucking with the best si hablan de Cosculluela
Protegido por Dios, ustedes no hablen de Glock
Graban con 69 después que choteó a todos los Bloods

Jodedores a donde es que está toda esa jodedera
El código es igual en PR o allá afuera
...


 "                                                                      ,73.0               ,17    ,"ENEMIGOS OCULTOS"
"ESLABON ARMADO"                                                                   ,0.0       ,"Music"                               ,"Con tus besos me haces sentir bien
Simplemente me encanta tu forma de ser
Cuando caminas matas a cualquier hombre
Y yo contigo, neta, sí me enamoré
Me traes bien loco, todo el día pensándote
Me atrevería a llevarte banda tal vez
Y escribirte canciones, gritar tu nombre

Se me hace que ya tengo con quién
Vivir la vida, recorrerla constante
Conocer lugares románticos también
Llevarte a luna o bajártela ¿Dónde?
Tú quieras, m'hija, sabes por ti pelearé
Seré el hombre que te de lo que tú desies
Yo sé muy bien con verte que tú me quieres

...


 "                                                                                                  ,22.0               ,18    ,"CON TUS BESOS"
"MALUMA"                                                                           ,0.0       ,""                                    ,"No te has ido de mi vida, vida mía, pero ya te extraño
Quién diría, nadie lo creía y ya vamos pa' un año
De solo pensar en perderte
Las milésimas se vuelven horas
Contigo yo me voy a muerte
Y mucho más cuando estamos a solas

Cuando nos falle la memoria y solo queden las fotografías
Que se me olvide todo, menos que tú eres mía

Cuando los años nos pesen
Y las piernas no caminen
Los ojos se nos cierren
Y la piel ya no se estire

Cuando lo único que pese
Sea lo que hicimos en vida
Y aunque nada de esto pase, woh-oh
Eres el amor de vida, woh, oh, oh
Eres el amor de mi vida

...


 "                                                                                   ,81.0               ,19    ,"ADMV"
"6IX9INE"                                                                          ,1.0       ,"Hip Hop/Rap / Hardcore Rap"          ,"Ransom got that sauce in it

Se pinta los labio', hoy no tiene horario
Quiere que la busque en la Lambo'
Esta noche coronamo', ¡dale!
Para terminar lo que empezamo'

Oh-oh, oh, baila morena, baila morena
Oh-oh, oh, baila morena, baila morena
Oh-oh, oh, baila morena, baila morena
Oh-oh, oh, oh

Una nena así me hacía falta
Que metiera mi mano por su falda
Se ve que no e' santa
Es como yo, que le gusta la maldad

Dale, baby, no sea' mala, no pare' de moverte que eso me encanta
Bebecita, dame una, una proba'ita, tú ere' una mamacita
Cuando chingamos, baby, tú nunca te quita'
Mueve to' ese booty, tan chulita como Anitta

...


 "                                                                            ,74.0               ,20    ,"YAYA"
"CHRISTIAN NODAL"                                                                  ,0.0       ,""                                    ,"Todos hablan, nadie sabe la verdad
La gente opina desde su posición
De afuera es diferente, vieran qué feo se siente
El andar sufriendo por un mal de amor

Aquí abajo donde estamos los decepcionados
Llorar, fumar, tomar, rogar es casi necesario
Así estoy yo, y ¿cómo no?
...


 "                                                                                            ,78.0               ,21    ,"AQUI ABAJO"
"JHAY CORTEZ & BAD BUNNY"                                                          ,1.0       ,""                                    ,"Yeh, nos matamo'
Dime tú dónde nos vemo'
Que el tiempo está pasando
Y tú estás perdiéndote

¿Cómo se siente, cómo se siente?
Cuando yo estoy adentro y tú está' al frente
O si no es encima 'e mí
¿Cómo terminamo' así, así, así?
¿Cómo se siente, cómo se siente?
Cuando yo estoy adentro y tú está' al frente
Hacemos posiciones diferente'
Baby, tú no sales de mi mente

No, nunca, baby
Perdona la pregunta
Si tu cuerpo fuera la calle
Sabe' que yo tengo la ruta y

Yo te sentí
Tú mojá' y yo recorriendo tu cuerpo, ma', como un jetski y
En la Merdece' ven a mí
Pa' yo jugar contigo como Wii

...


 "                                                                                  ,27.0               ,22    ,"COMO SE SIENTE"
"NATTI NATASHA"                                                                    ,0.0       ,""                                    ,"Yeah-yeah-yeah-yeah
Natti Nat, mmh
Rude gyal

La última vez (La última vez)
Tú me dijiste que me odiaba' y que pa'trá' no ibas a volver (no, no)
De repente recibí una llamada y eras tú otra vez (eras tú otra vez)
Tú que pensaba' que por irte el mundo se me iba a virar al revés
Qué mal te fue

¿Qué pasó? ¿Qué pasó?
Probaste con otro culito pero al final no te resultó
¿Qué pasó?
Ahora la vuelta se te cayó

¿Qué pasó? ¿Qué pasó?
Probaste con otro culito pero al final no te resultó
¿Qué pasó?
Ahora la vuelta se te cayó

Ahora soy yo la de la vuelta, tu gyal anda suelta
Por ahí revuelta, soltera pero hay uno de respuesta
Dicen que hablar claro nada cuesta
Pero gastaste todo lo del banco y de la renta (yo')

Ya llegó mi tiempo, oh-oh
...


 "                                                                        ,21.0               ,23    ,"QUE MAL TE FUE"
"CARIN LEON"                                                                       ,""        ,"Country / Traditional Country"       ,""                                                                                                                                          ,1.0                ,24    ,"TU"
"PLAY N SKILLZ, DADDY YANKEE & ZION & LENNOX"                                      ,""        ,""                                    ,""                                                                                                                                          ,""                 ,25    ,"BESAME"
"ANUEL AA & BAD BUNNY"                                                             ,1.0       ,""                                    ,"Brr

Hoy la noche se acaba
Tú, desnuda en mi cama
Anoche te soñé
Y me quedé con la' gana' (Uah)

Baby, apaga el celular que te quiero disfrutar
No le vaya' a contestar, no (Yeh)
Y ese traje se ve bien con tus nalgas apreta'
Pero e' hora de quitarlo (Ey)

Hoy la noche es tuya y mía
La luz está apaga', pero tú está' prendi'a
La nota me dice que siga (Me dice)
Te vo' a dar hasta que Dios diga, ey (Brr)

Hoy la noche e' tuya y mía
La luz está apaga', pero tú está' prendi'a
La nota me dice que siga (Que)
Te vo' a dar hasta que Dios diga (Uah)

Tan dura, que hasta Ricky Martin quiere darte (Darte)
Tú llega' y esta' puta' empiezan a envidiarte (Envidiarte)
Tu gato dice que es real, pero él te miente (Brr)
Y eso es real, eso es real hasta la muerte, yah

Porque ese jevo tuyo 'tá celoso ('Tá celoso)
Y eso labio' allá abajo 'tán jugoso' (Jugoso')
Baby, hoy la noche es de nosotro' (De nosotro')
Y ese totito en mi boca está chicloso, ey (-closo)

Que nos perdonen la Virgen y Jesucristo
Fue que yo te vi y me tropecé con tu culito
...


 "                                                                                  ,29.0               ,26    ,"HASTA QUE DIOS DIGA"
"BANDA MS DE SERGIO LIZARRAGA & SNOOP DOGG"                                        ,""        ,""                                    ,""                                                                                                                                          ,""                 ,27    ,"QUE MALDICION"
"OZUNA X WISIN"                                                                    ,1.0       ,""                                    ,"Señoritas, desde Plutón
Le llaman ""Los Fantásticos""
W, Ozuna
Urba y Rome
¡Prende!

Ella me dijo: ""pa' la pared"" (Pa' la pared, ¡duro!)
Callaíta' donde no se ve (¡Duro!)
Entonce' e' que no me dejé, rápido me pegué (Woh-oh-oh)
Y ahora es que e', eh

Bam, bam, bam
Tú quiere' un perreo como ante' (Tú me dice')
Ram-pam-pam-pam-pam
A la nena de papi le gustan maleante'
Hoy se va (¡Prende!)

Vélala, que está fronteando en el corillo
Enséñame el gistro amarillo
Es sencillo, guaya el calzoncillo
Se siente bien, bien a fueguillo

Vélala, que está fronteando en el corillo
Enséñame el gistro amarillo
Es sencillo, guaya el calzoncillo
Y se siente bien, bien a fueguillo (Oh-oh)

Se siente bien, bien a fueguillo (Woh-oh)
Se siente bien, bien a fueguillo (Woh-oh)
Se siente bien, bien a fueguillo (Woh-oh)
Se siente bien (Yeah)

Mami, no deje' que la nota te domine
Un shot de tequila y se suelta la pupila (¡tra!)
Llegó la dura bella, nunca me hace fila (rra)
Si pone reggaetón a todos aniquila
Ella sigue bebiendo y es la más que vacila (rra, rra, rra)

...


 "                                                                                  ,27.0               ,28    ,"GISTRO AMARILLO"
"YANDEL X BAD BUNNY"                                                               ,0.0       ,""                                    ,"Ella es la que me encanta
Ella es la que me levanta
Cuando estoy jodi'o
Nunca se va del lado mío

Pero ella me cela por to', me jode por to'
Pelea por to', por todo
A veces ni la soporto, pero en el cuarto nos damos con to'
Y arreglamos to'

Pero ella me cela por to', me jode por to'
Pelea por to', por todo
A veces ni la soporto, pero en el cuarto nos damos con to'
Y arreglamos to'

Y aunque a veces mal me porto, ella me espera en la casa en vestidito corto
Trépate en mi cama pronto
Y quítate to' que quiero recorrer tu cuerpo
Por ti soy loco, se ve en mis ojos cuando te toco
Tú dime, ma'
Esto yo no lo hago con ninguna má'

Yo te conocí perreando, recuérdate
Cuando los dos éramos chamacos de 16
...


 "                                                                 ,28.0               ,29    ,"CANCION CON YANDEL"
"EL FANTASMA & LOS DOS CARNALES"                                                   ,""        ,""                                    ,""                                                                                                                                          ,11.0               ,30    ,"CABRON Y VAGO"
"JUSTIN QUILES, DADDY YANKEE & EL ALFA"                                            ,1.0       ,""                                    ,"Yao-oh
Tengo una nota (jefe)
Me fronteó y el humo le pasé de boca a boca (DY)
Y eso que dijo conmigo no iba a estar ni loca (wuh, rrr)
Le ponen la music y con el booty me choca (wuh)
Esta noche le toca (rah)

Cuando la azoto, suena pam, pam, pam, pam, pam (pam, yeh-yeh)
Y la' pistola' suenan pam, pam, pam, pam, pam (pam, cómo suena)
Tú ya conoce' el refrán, -frán, -frán, -frán, -frán (dale)
Aquí lo que hay es muslo y pam-pam-pam-pam-pam-pam-pam-pam-pam (Daddy, Daddy)

Cuando lo' saludo e' Richard Millie y no e' Jacob (wuh)
Y eso que en el case no tenía ni pa' un Seiko (yeah)
Hasta lo' gringo' me conocen, dicen: ""hey, bro"" (win)
¿Vas a seguir?, digo: ""sí, es el takeover

El número 1 desde Rusia hasta la USA
Jhay Co, tenemo' la' piedra' en la ""Medusa"" (money)
My G, cuando escucho a Karol G
Recuerdo rrr, borré toda la tusa (uah)

Empecé picando piedra como bam-bam-bam
Ese horno en la mañana pide pan-pan-pan
Como la nieve cuando hierve, soy un crack-crack-crack
Y si suena la 'e Darell, suena ""ra-ta-ta-tá"" (dale)

Loca, le ponen la music y con el booty me choca
Esta noche le toca
...


 "                                                               ,27.0               ,31    ,"PAM"
"MYKE TOWERS"                                                                      ,1.0       ,""                                    ,"Era mi reina
Ahora e' mi diosa
Hace lucir a las demá' como envidiosas
Pelinegra y peligrosa
Al seducirla ella se me pone nerviosa

Otra cosa
Tú ere' otra cosa
Se ve que en la cama
Tú ere' talentosa
Los ignora
Por má' que la acosan
Cuando otra me habla
Se pone celosa

Era mi reina
Ahora e' mi diosa
Y hace lucirla' a las demá' como envidiosas
Pelinegra y peligrosa
Y al seducirla ella se me pone nerviosa

Oye, no hay ni que decirlo, mami, tú ere' otra cosa
Las mujere' como tú son las que hay que tener de esposa
Le gusta hacerlo vece' corrida, no reposa
Si le falla', ella el corazón te lo destroza

...


 "                                                                                     ,25.0               ,32    ,"DIOSA"
"OZUNA X CAMILO"                                                                   ,0.0       ,""                                    ,"Yeah, eh, eh, oh
La Tribu
Ozuna 'El Oso' (Mmm)

¿Por qué todo tiene que ser confuso? (Confuso)
Desde el principio fuiste tú la que impuso (Oh-oh)
Que lo dejaramo' así
El alma y la mente en un duelo (El alma y la mente en un duelo)
Forcejeando pa' quedarse aquí (aquí)

Haciéndolo está muy adelantá' la nena (Woh-oh)
Seca con los demá' y conmigo en humeda' (Humeda')
Que cuando te va' má' gana' me dan (Me dan, oh)

Por algo será
Que no cambio lo de conocerte (No-oh)
Cambio que te vaya' cuando amanece (Cuando amanece)
Porque te entrega', pero no lo suficiente (Suficiente)
No llama', pero cuando te aparece', eh

Tu piel mojada, tira' en la cama
Muy maquillada, así será
Tu piel mojada, tan despeinada
Sin decir nada, así se ve (Así se va)

Así será (Yeah)
No hemos empeza'o y odio cuando tú te vas (Cuando tú te va')
Solo hemos habla'o y te siento muy humeda (Humeda)
La vida e' muy frágil, mira qué fácil se va (Oh-oh-oh)

...


 "                                                                             ,81.0               ,33    ,"DESPEINADA"
"JOWELL & RANDY & J BALVIN"                                                        ,0.0       ,"Music"                               ,"J Balvin man
Jowell y Randy
Leggo

Yo no sé qué será
Lo que tiene que me enloquecerá
Estas cosa' de la vida solo una vez se dan
Desde que lo hicimo' las gana' no se van

Y aquí me tiene así
Bebé, yo estoy pendiente
Te hablo claro, no te saco de mi mente

Me la paso aquí pensando en ti (ih)
En lo rico que te di (ih)
La última ve' que te vi (ih)

Te confieso que me la paso aquí pensando en ti (ih)
En lo rico que te di (ih)
La última ve' que te vi (ih)
Te confieso que me la paso aquí pensando en-

Que si de pronto (yeah)
Si lo permite', mami, pa' vernos pronto (su)
Si tú me deja' en la Mercedes te monto (monto)
Y ponte el traje que te traje a Toronto

Olvídate del tonto aquel
Tú va' a fumar y yo a beber (a beber)
...


 "                                                                                         ,29.0               ,34    ,"ANARANJADO"
"OZUNA & DADDY YANKEE"                                                             ,0.0       ,""                                    ,"No no no
Yeah, yeah
D-D-D-D-DY
El negrito ojos claros
Ozuna

No se da cuenta que yo estoy aquí
Esperando a ver si te pones pa' mí

No le conozco amores
Siempre anda sola
Conozco to'as sus versiones
Es una abusadora

Y cuando sale pa' la calle
Bien así cala'
Tiene un no sé qué
Yo me muero de ganas

No se da cuenta que yo estoy aquí
Esperando a ver si te pones pa' mí

No le conozco amores
Siempre anda sola
Conozco to'as sus versiones
Es una abusadora

Donde quiera que pasa
Le ponen la orden de protección
Porque es una amenaza
Y las tiene a to'as bajo presión (fuego)

Es tremenda bully, bully, abusadora
Una serial killer, ella es matadora
Es un lujo mirarte con mi vista decora, viuda negra, seductora
Haciendo el amor es que tú te los devora
...


 "                                                                              ,27.0               ,35    ,"NO SE DA CUENTA"
"LOS 2 DE LA S & BANDA MS DE SERGIO LIZARRAGA"                                     ,0.0       ,"Latin / Regional Mexicano"           ,"Yo de esta vida
Que voy a llevarme tan solo son las vivencias
No tengo tiempo para andarme con tristezas
Saquénse unos cuartitos, también unas guitarras
Pa' cantar canciones buenas

Ya he conocido cosas
Que ni siquiera por la mente me pasaban
Yo soy el mismo, no se me sube nada
Porque hay principios, sencillez y humildad
Y lo que sobra es palabra

Soy un afortunado por tener mi familia
Y amigos que me quieren
Este corazón es para todos ustedes
La vida es una fiesta
Y hay que saber gozarla y bailarla como viene

En esta vida tan solo es cuestión de irle agarrando el lado
Mañana no sé si amanezca vivo ya para contarlo
Les agradezco a mis padres por la vida
...


 "                                                                                 ,22.0               ,36    ,"SOMOS LOS QUE SOMOS"
"IR-SAIS X RAUW ALEJANDRO"                                                         ,0.0       ,""                                    ,"Ya hace un día que nos vemo'
Y creo que un tesoro encontré
¿Será verdad?, aún no lo proceso
Es que eres tal como te soñé
Cuando me ve, no le tengo que decir
Si mi sonrisa no sabe mentir

Lo que no sabe es que mi sueño me va a cumplir
Si tú me ves y te empieza' a desvestir
Así que ya sabes, tienes la verde pa' comerme
El mundo al revés, solo tú puedes ponerme, mami

Es que ninguna compite contigo, mami
Yo quiero ser más que un amigo, mami
...


 "                                                                                             ,70.0               ,37    ,"DREAM GIRL"
"JUNIOR H"                                                                         ,0.0       ,""                                    ,"Mente positiva y aquí hay cosas de la vida
Si hablo de animales me gusta más gorilita
Tengo quien me cuide, también quien quiere matarme
Pero no me escondo, ya saben dónde encontrarme

Las morras me gustan, son lo mejor de la vida
Me gustan las güeritas tambien las morenitas
Pero que estén locas pa' tirar bien el desmadre
Que si saco un cuerno ellas también quieran jalarle

Que si la muerte
Que si el dinero, que hay que corretiar billete
Ya no hay pendiente

Que buenas noches
...


 "                                                                                         ,36.0               ,38    ,"MENTE POSITIVA"
